@class: format(){
   Output_every: 1
//@PHREEQCOutput: chemistry1.inp

Output_every: 1
 The column headers in this file can be edited and determine the output for the next run.
Var: 	 T                   	 Ca.tot                	 Si.tot                	 waterbalance            	 watervolume             	 pH                      	 Ca.bulksolution         	 Ca.bulksolid            	 Si.bulksolid            	 Si.bulksolution         	 Portlandite[s].tot      	 CSHQ_JenD.tot.con       	 CSHQ_JenH.tot.con       	 CSHQ_TobD.tot.con       	 CSHQ_TobH.tot.con       	 Ca.bulkss               	 Si.bulkss               	
Data:	 2.98150000e2            	 1.12345000              	 3.14558000e-1           	 50.0000000              	 2.27387396e-2           	 12.4800294              	 4.43236380e-4           	 1.12300676              	 3.14557291e-1           	 7.08956864e-7           	 6.11325771e-1           	 1.68589645e-1           	 1.12043852e-1           	 1.26846834e-1           	 5.54593813e-3           	 5.11680993e-1           	 3.14557291e-1           	

}

@format()

Output_every: 1
// The column headers in this file can be edited and determine the output for the next run.
Var: 	 T                       	 Ca.tot                  	 Si.tot                  	 waterbalance            	 watervolume             	 pH                      	 Ca.bulksolution         	 Ca.bulksolid            	 Si.bulksolid            	 Si.bulksolution         	 Portlandite[s].tot      	 CSHQ_JenD.tot.con       	 CSHQ_JenH.tot.con       	 CSHQ_TobD.tot.con       	 CSHQ_TobH.tot.con       	 Ca.bulkss               	 Si.bulkss               	
Data:	 2.98150000e2            	 1.92000000              	 3.15000000e-1           	 1.25000000e2            	 8.34583770e-2           	 12.4800294              	 1.62681791e-3           	 1.91837318              	 3.14997398e-1           	 2.60209625e-6           	 1.40597628              	 1.68825524e-1           	 1.12200616e-1           	 1.27024310e-1           	 5.55369762e-3           	 5.12396902e-1           	 3.14997398e-1           	
Data:	 2.98150000e2            	 8.38000000e-1           	 1.24000000e-1           	 96.0000000              	 7.82107074e-2           	 12.4800294              	 1.52452736e-3           	 8.36475473e-1           	 1.23997562e-1           	 2.43848246e-6           	 6.34772326e-1           	 6.64575435e-2           	 4.41673579e-2           	 5.00026500e-2           	 2.18619254e-3           	 2.01703147e-1           	 1.23997562e-1           	
Data:	 2.98150000e2            	 4.35000000e-1           	 3.01000000e-1           	 50.3000000              	 3.61354014e-2           	 12.2754028              	 4.20826697e-4           	 4.34579173e-1           	 3.00997717e-1           	 2.28310242e-6           	 0.0                     	 8.42806385e-2           	 1.31618300e-1           	 1.47107559e-1           	 1.51129056e-2           	 4.34579173e-1           	 3.00997717e-1           	
Data:	 2.98150000e2            	 1.03000000              	 2.01000000e-1           	 1.14000000e2            	 9.10371098e-2           	 12.4800294              	 1.77454686e-3           	 1.02822545              	 2.00997162e-1           	 2.83838880e-6           	 7.01269346e-1           	 1.07726131e-1           	 7.15942594e-2           	 8.10531320e-2           	 3.54376724e-3           	 3.26956107e-1           	 2.00997162e-1           	
Data:	 2.98150000e2            	 3.89000000e-1           	 3.65000000e-1           	 60.9000000              	 4.70565676e-2           	 11.7044132              	 1.42173511e-4           	 3.88857826e-1           	 3.64988565e-1           	 1.14345560e-5           	 0.0                     	 8.39009495e-3           	 1.08942992e-1           	 1.64682439e-1           	 1.40658115e-1           	 3.88857826e-1           	 3.64988565e-1           	
Data:	 2.98150000e2            	 1.17000000e-1           	 3.49000000e-1           	 1.50000000e2            	 1.48247865e-1           	 7.51825700              	 4.98221695e-4           	 1.16501778e-1           	 1.74696588e-1           	 1.74303412e-1           	 0.0                     	 1.13817442e-11          	 3.75473238e-7           	 8.05196451e-5           	 1.74642530e-1           	 1.16501778e-1           	 1.74696588e-1           	
Data:	 2.98150000e2            	 1.94000000              	 2.91000000e-1           	 69.5000000              	 2.80874846e-2           	 12.4800294              	 5.47497142e-4           	 1.93945250              	 2.90999124e-1           	 8.75722018e-7           	 1.46609288              	 1.55963446e-1           	 1.03652542e-1           	 1.17346883e-1           	 5.13058570e-3           	 4.73359624e-1           	 2.90999124e-1           	
Data:	 2.98150000e2            	 1.10000000              	 2.70000000e-1           	 1.11000000e2            	 8.52205252e-2           	 12.4800294              	 1.66116670e-3           	 1.09833883              	 2.69997343e-1           	 2.65703716e-6           	 6.59142183e-1           	 1.44707363e-1           	 9.61718049e-2           	 1.08877808e-1           	 4.76030472e-3           	 4.39196650e-1           	 2.69997343e-1           	
Data:	 2.98150000e2            	 8.00000000e-1           	 1.40000000e-1           	 1.03000000e2            	 8.55409871e-2           	 12.4800294              	 1.66741332e-3           	 7.98332587e-1           	 1.39997333e-1           	 2.66702865e-6           	 5.70603087e-1           	 7.50327566e-2           	 4.98664025e-2           	 5.64546396e-2           	 2.46828342e-3           	 2.27729499e-1           	 1.39997333e-1           	
Data:	 2.98150000e2            	 1.44000000              	 3.30000000e-1           	 73.1000000              	 3.98137640e-2           	 12.4800294              	 7.76072417e-4           	 1.43922393              	 3.29998759e-1           	 1.24132831e-6           	 9.02424758e-1           	 1.76865630e-1           	 1.17544032e-1           	 1.33073685e-1           	 5.81818559e-3           	 5.36799169e-1           	 3.29998759e-1           	
