Output_every: 10
// The column headers in this file can be edited and determine the output for the next run.
Var: 	 time_years              	 integrity               	
Data:	 2.56849315e-1           	 1.00000000              	
Data:	 2.57420091e-1           	 1.00000000              	
Data:	 2.57990868e-1           	 1.00000000              	
Data:	 2.58561644e-1           	 1.00000000              	
Data:	 2.59132420e-1           	 1.00000000              	
Data:	 2.59703196e-1           	 1.00000000              	
Data:	 2.60273973e-1           	 1.00000000              	
Data:	 2.60844749e-1           	 1.00000000              	
Data:	 2.61415525e-1           	 1.00000000              	
Data:	 2.61986301e-1           	 1.00000000              	
Data:	 2.62557078e-1           	 1.00000000              	
Data:	 2.63127854e-1           	 1.00000000              	
Data:	 2.63698630e-1           	 1.00000000              	
Data:	 2.64269406e-1           	 1.00000000              	
Data:	 2.64840183e-1           	 1.00000000              	
Data:	 2.65410959e-1           	 1.00000000              	
Data:	 2.65981735e-1           	 1.00000000              	
Data:	 2.66552511e-1           	 1.00000000              	
Data:	 2.67123288e-1           	 1.00000000              	
Data:	 2.67694064e-1           	 1.00000000              	
Data:	 2.68264840e-1           	 1.00000000              	
Data:	 2.68835616e-1           	 1.00000000              	
Data:	 2.69406393e-1           	 1.00000000              	
Data:	 2.69977169e-1           	 1.00000000              	
Data:	 2.70547945e-1           	 1.00000000              	
Data:	 2.71118721e-1           	 1.00000000              	
Data:	 2.71689498e-1           	 1.00000000              	
Data:	 2.72260274e-1           	 1.00000000              	
Data:	 2.72831050e-1           	 1.00000000              	
Data:	 2.73401826e-1           	 1.00000000              	
Data:	 2.73972603e-1           	 1.00000000              	
Data:	 2.74543379e-1           	 1.00000000              	
Data:	 2.75114155e-1           	 1.00000000              	
Data:	 2.75684932e-1           	 1.00000000              	
Data:	 2.76255708e-1           	 1.00000000              	
Data:	 2.76826484e-1           	 1.00000000              	
Data:	 2.77397260e-1           	 1.00000000              	
Data:	 2.77968037e-1           	 1.00000000              	
Data:	 2.78538813e-1           	 1.00000000              	
Data:	 2.79109589e-1           	 1.00000000              	
Data:	 2.79680365e-1           	 1.00000000              	
Data:	 2.80251142e-1           	 1.00000000              	
Data:	 2.80821918e-1           	 1.00000000              	
Data:	 2.81392694e-1           	 1.00000000              	
Data:	 2.81963470e-1           	 1.00000000              	
Data:	 2.82534247e-1           	 1.00000000              	
Data:	 2.83105023e-1           	 1.00000000              	
Data:	 2.83675799e-1           	 1.00000000              	
Data:	 2.84246575e-1           	 1.00000000              	
Data:	 2.84817352e-1           	 1.00000000              	
Data:	 2.85388128e-1           	 1.00000000              	
Data:	 2.85958904e-1           	 1.00000000              	
Data:	 2.86529680e-1           	 1.00000000              	
Data:	 2.87100457e-1           	 1.00000000              	
Data:	 2.87671233e-1           	 1.00000000              	
Data:	 2.88242009e-1           	 1.00000000              	
Data:	 2.88812785e-1           	 1.00000000              	
Data:	 2.89383562e-1           	 1.00000000              	
Data:	 2.89954338e-1           	 1.00000000              	
Data:	 2.90525114e-1           	 1.00000000              	
Data:	 2.91095890e-1           	 1.00000000              	
Data:	 2.91666667e-1           	 1.00000000              	
Data:	 2.92237443e-1           	 1.00000000              	
Data:	 2.92808219e-1           	 1.00000000              	
Data:	 2.93378995e-1           	 1.00000000              	
Data:	 2.93949772e-1           	 1.00000000              	
Data:	 2.94520548e-1           	 1.00000000              	
Data:	 2.95091324e-1           	 1.00000000              	
Data:	 2.95662100e-1           	 1.00000000              	
Data:	 2.96232877e-1           	 1.00000000              	
Data:	 2.96803653e-1           	 1.00000000              	
Data:	 2.97374429e-1           	 1.00000000              	
Data:	 2.97945205e-1           	 1.00000000              	
Data:	 2.98515982e-1           	 1.00000000              	
Data:	 2.99086758e-1           	 1.00000000              	
Data:	 2.99657534e-1           	 1.00000000              	
Data:	 3.00228311e-1           	 1.00000000              	
Data:	 3.00799087e-1           	 1.00000000              	
Data:	 3.01369863e-1           	 1.00000000              	
Data:	 3.01940639e-1           	 1.00000000              	
Data:	 3.02511416e-1           	 1.00000000              	
Data:	 3.03082192e-1           	 1.00000000              	
Data:	 3.03652968e-1           	 1.00000000              	
Data:	 3.04223744e-1           	 1.00000000              	
Data:	 3.04794521e-1           	 1.00000000              	
Data:	 3.05365297e-1           	 1.00000000              	
Data:	 3.05936073e-1           	 1.00000000              	
Data:	 3.06506849e-1           	 1.00000000              	
Data:	 3.07077626e-1           	 1.00000000              	
Data:	 3.07648402e-1           	 1.00000000              	
Data:	 3.08219178e-1           	 1.00000000              	
Data:	 3.08789954e-1           	 1.00000000              	
Data:	 3.09360731e-1           	 1.00000000              	
Data:	 3.09931507e-1           	 1.00000000              	
Data:	 3.10502283e-1           	 1.00000000              	
Data:	 3.11073059e-1           	 1.00000000              	
Data:	 3.11643836e-1           	 1.00000000              	
Data:	 3.12214612e-1           	 1.00000000              	
Data:	 3.12785388e-1           	 1.00000000              	
Data:	 3.13356164e-1           	 1.00000000              	
Data:	 3.13926941e-1           	 1.00000000              	
Data:	 3.14497717e-1           	 1.00000000              	
Data:	 3.15068493e-1           	 1.00000000              	
Data:	 3.15639269e-1           	 1.00000000              	
Data:	 3.16210046e-1           	 1.00000000              	
Data:	 3.16780822e-1           	 1.00000000              	
Data:	 3.17351598e-1           	 1.00000000              	
Data:	 3.17922374e-1           	 1.00000000              	
Data:	 3.18493151e-1           	 1.00000000              	
Data:	 3.19063927e-1           	 1.00000000              	
Data:	 3.19634703e-1           	 1.00000000              	
Data:	 3.20205479e-1           	 1.00000000              	
Data:	 3.20776256e-1           	 1.00000000              	
Data:	 3.21347032e-1           	 1.00000000              	
Data:	 3.21917808e-1           	 1.00000000              	
Data:	 3.22488584e-1           	 1.00000000              	
Data:	 3.23059361e-1           	 1.00000000              	
Data:	 3.23630137e-1           	 1.00000000              	
Data:	 3.24200913e-1           	 1.00000000              	
Data:	 3.24771689e-1           	 1.00000000              	
